Fecha del Siniestro,Tipo de auto,Modelo,Monto del siniestro,Aplica cobertura,Deducible,Reclamo de no-Cobertura,Pérdida total
18/10/2020,Deportivo,2017,32280,Si,4500,No,No
15/09/2020,Camioneta,2017,80000,Si,6100,No,No
05/01/2020,compacto,2018,27090,Si,3300,No,No
30/10/2020,Subcompacto,2018,10870,Si,2300,No,No
08/02/2020,Subcompacto,2016,14380,Si,2900,No,No
23/07/2020,compacto,2016,26950,Si,3200,No,No
28/01/2020,compacto,2017,27570,Si,3000,No,No
10/08/2020,compacto,2018,26630,Si,3700,No,No
10/06/2020,Camioneta,2017,61910,Si,10000,No,No
11/12/2020,Subcompacto,2017,12510,Si,2800,No,No
23/02/2020,Austero,2017,2910,Si,1700,No,No
29/11/2020,Austero,2016,5780,Si,1500,No,No
31/08/2020,Austero,2017,9130,Si,1200,No,No
13/09/2020,Austero,2017,8770,Si,1700,No,No
08/12/2020,Deportivo,2015,33420,Si,4800,No,No
03/02/2020,Camioneta,2016,73270,Si,6000,No,No
20/10/2020,compacto,2016,21610,Si,3700,No,No
02/07/2020,Austero,2016,9240,Si,1700,No,No
05/07/2020,Deportivo,2017,32070,Si,4000,No,No
06/03/2020,Camioneta,2016,104120,Si,9200,No,No
27/09/2020,Austero,2017,2720,Si,1000,No,No
06/09/2020,compacto,2017,29620,Si,3900,No,No
03/12/2020,compacto,2016,29240,Si,3700,No,No
26/12/2020,Subcompacto,2016,16200,Si,2600,No,No
21/12/2020,Austero,2016,1110,Si,1700,Si,No
31/07/2020,Subcompacto,2018,15590,Si,2400,No,No
16/02/2020,compacto,2017,23590,Si,3800,No,No
25/04/2020,Austero,2017,1320,Si,1300,No,No
09/02/2020,compacto,2017,23910,Si,3000,No,No
26/09/2020,Austero,2017,3310,Si,1900,No,No
18/01/2020,Austero,2016,9750,Si,1600,No,No
18/02/2020,De Lujo,2018,48960,Si,5700,No,No
17/06/2020,Austero,2017,4400,Si,2000,No,No
24/05/2020,Deportivo,2017,37590,Si,4900,No,No
20/12/2020,Austero,2017,8580,Si,1300,No,No
22/08/2020,De Lujo,2016,45480,Si,6000,No,No
02/10/2020,Camioneta,2015,54430,Si,9800,No,No
19/02/2020,compacto,2017,24390,Si,3100,No,No
20/07/2020,Camioneta,2018,60010,Si,6600,No,No
29/09/2020,compacto,2017,22830,Si,3800,No,No
20/11/2020,compacto,2018,27400,Si,3200,No,No
23/08/2020,Camioneta,2017,56500,Si,8100,No,No
11/11/2020,Austero,2018,3050,Si,1900,No,No
03/07/2020,compacto,2017,29650,Si,3800,No,No
15/12/2020,Deportivo,2017,35580,Si,4100,No,No
25/05/2020,Deportivo,2017,34800,Si,5000,No,No
06/11/2020,Austero,2016,4630,Si,1300,No,No
18/09/2020,Austero,2017,2260,Si,1800,No,No
21/06/2020,Austero,2017,2090,Si,1700,No,No
15/05/2020,Austero,2017,3410,Si,1900,No,No
17/10/2020,De Lujo,2016,45310,Si,6000,No,No
16/07/2020,Austero,2017,8160,Si,1900,No,No
20/04/2020,compacto,2018,21900,Si,3700,No,No
14/05/2020,Austero,2017,2540,Si,2000,No,No
04/03/2020,Austero,2017,9500,Si,1300,No,No
07/09/2020,Camioneta,2017,57470,Si,8700,No,No
01/11/2020,compacto,2017,28280,Si,3200,No,No
22/04/2020,De Lujo,2016,49230,Si,5800,No,No
19/11/2020,Subcompacto,2017,11430,Si,2000,No,No
27/10/2020,compacto,2017,29760,Si,3600,No,No
28/07/2020,Subcompacto,2017,16820,Si,2500,No,No
31/03/2020,Subcompacto,2017,18900,Si,2600,No,No
04/01/2020,compacto,2016,20630,Si,3900,No,No
13/09/2020,Austero,2017,7120,Si,1200,No,No
07/09/2020,Austero,2018,170,Si,1600,Si,No
11/07/2020,De Lujo,2018,41690,Si,5100,No,No
18/05/2020,Camioneta,2017,130210,Si,6300,No,No
15/01/2020,Subcompacto,2015,18700,Si,2600,No,No
01/05/2020,compacto,2017,20250,Si,3900,No,No
14/06/2020,Deportivo,2017,32400,Si,4700,No,No
10/04/2020,Subcompacto,2017,10800,Si,2400,No,No
12/09/2020,De Lujo,2017,47400,Si,5700,No,No
26/01/2020,De Lujo,2016,48010,Si,5700,No,No
14/06/2020,De Lujo,2016,46200,Si,6000,No,No
24/06/2020,Deportivo,2016,31350,Si,5000,No,No
08/10/2020,Subcompacto,2018,14610,Si,3000,No,No
14/10/2020,Subcompacto,2017,14310,Si,2900,No,No
15/09/2020,Subcompacto,2016,18490,Si,2100,No,No
29/09/2020,Austero,2017,6290,Si,2000,No,No
06/03/2020,Austero,2018,5860,Si,1400,No,No
09/08/2020,De Lujo,2018,46120,Si,5900,No,No
05/10/2020,De Lujo,2017,48940,Si,5900,No,No
05/03/2020,Deportivo,2017,31730,Si,4000,No,No
18/12/2020,Subcompacto,2017,16960,Si,2200,No,No
26/12/2020,Camioneta,2017,105000,Si,8500,No,No
16/01/2020,Austero,2016,5090,Si,1700,No,No
21/05/2020,compacto,2017,22080,Si,3900,No,No
27/09/2020,compacto,2016,24120,Si,3800,No,No
19/02/2020,Camioneta,2017,68770,Si,7300,No,No
22/02/2020,Camioneta,2018,66700,Si,8400,No,No
02/04/2020,Subcompacto,2015,13340,Si,2300,No,No
16/01/2020,compacto,2017,21580,Si,3100,No,No
13/09/2020,Camioneta,2017,95070,Si,8000,No,No
27/12/2020,compacto,2017,26940,Si,3900,No,No
06/08/2020,Camioneta,2017,55850,Si,8100,No,No
12/06/2020,compacto,2017,26190,Si,3700,No,No
25/10/2020,Austero,2017,8040,Si,2000,No,No
25/05/2020,compacto,2016,29770,Si,3200,No,No
12/07/2020,Austero,2016,9480,Si,1600,No,No
28/02/2020,Subcompacto,2018,11540,Si,2800,No,No
12/02/2020,De Lujo,2016,44720,Si,5700,No,No
25/12/2020,Camioneta,2018,70980,Si,9200,No,No
09/08/2020,Austero,2018,7800,Si,1400,No,No
10/07/2020,Camioneta,2014,55370,Si,6200,No,No
28/11/2020,De Lujo,2017,40990,Si,5000,No,No
07/10/2020,Subcompacto,2017,17550,Si,2700,No,No
08/04/2020,Camioneta,2017,60760,Si,8500,No,No
08/12/2020,De Lujo,2018,42290,Si,5200,No,No
01/08/2020,compacto,2017,24100,Si,4000,No,No
13/04/2020,compacto,2017,23070,Si,3700,No,No
26/03/2020,Camioneta,2017,55290,Si,7400,No,No
19/11/2020,Austero,2017,5500,Si,1300,No,No
25/01/2020,De Lujo,2016,40580,Si,5500,No,No
15/07/2020,Austero,2017,7880,Si,1100,No,No
02/12/2020,Camioneta,2017,56790,Si,6500,No,No
02/11/2020,Austero,2018,3380,Si,1000,No,No
31/05/2020,Austero,2016,2710,Si,1800,No,No
23/05/2020,Subcompacto,2015,15040,Si,2500,No,No
11/02/2020,compacto,2017,23790,Si,3400,No,No
31/01/2020,Austero,2017,4410,Si,2000,No,No
10/09/2020,Austero,2016,6430,Si,1400,No,No
04/01/2020,Austero,2016,130,Si,1600,Si,No
14/05/2020,Austero,2017,7370,Si,1900,No,No
17/01/2020,Subcompacto,2017,17960,Si,2300,No,No
01/12/2020,Deportivo,2018,30550,Si,4400,No,No
27/09/2020,Austero,2017,5720,Si,1300,No,No
17/05/2020,Subcompacto,2017,11450,Si,2800,No,No
10/02/2020,Subcompacto,2018,10750,Si,2200,No,No
29/02/2020,Deportivo,2017,35760,Si,4500,No,No
25/04/2020,compacto,2017,22020,Si,3500,No,No
05/11/2020,Camioneta,2017,62840,Si,8700,No,No
09/08/2020,De Lujo,2017,41390,Si,5100,No,No
20/04/2020,Subcompacto,2017,16090,Si,2300,No,No
03/06/2020,Camioneta,2017,62640,Si,9500,No,No
24/02/2020,Austero,2018,1740,Si,1600,No,No
12/03/2020,Subcompacto,2017,19770,Si,3000,No,No
05/05/2020,Austero,2018,6260,Si,1600,No,No
01/02/2020,Camioneta,2018,82120,Si,9300,No,No
21/03/2020,Subcompacto,2016,17570,Si,2300,No,No
02/03/2020,Subcompacto,2017,14350,Si,2500,No,No
04/06/2020,Camioneta,2017,154870,Si,6500,No,No
04/06/2020,Austero,2017,5950,Si,1500,No,No
25/07/2020,De Lujo,2017,43050,Si,5300,No,No
06/12/2020,De Lujo,2017,46630,Si,5200,No,No
12/04/2020,Austero,2017,8590,Si,1900,No,No
23/11/2020,Austero,2016,820,Si,1900,Si,No
30/12/2020,Camioneta,2016,81530,Si,9600,No,No
01/02/2020,De Lujo,2017,45700,Si,5400,No,No
29/06/2020,Deportivo,2016,38340,Si,4700,No,No
24/01/2020,Austero,2017,270,Si,1800,Si,No
24/07/2020,Camioneta,2017,61150,Si,7800,No,No
21/03/2020,Camioneta,2018,67970,Si,7500,No,No
11/09/2020,Subcompacto,2017,12900,Si,2600,No,No
04/12/2020,Subcompacto,2017,16200,Si,3000,No,No
02/05/2020,Austero,2017,8210,Si,1700,No,No
08/11/2020,Subcompacto,2017,16650,Si,2500,No,No
01/10/2020,Subcompacto,2017,12840,Si,2200,No,No
26/11/2020,Subcompacto,2016,12010,Si,2200,No,No
17/06/2020,Austero,2017,170,Si,1600,Si,No
08/09/2020,Camioneta,2016,101420,Si,6400,No,No
06/01/2020,Austero,2017,8270,Si,1800,No,No
04/04/2020,compacto,2016,21590,Si,3600,No,No
22/05/2020,Austero,2017,3770,Si,1600,No,No
24/11/2020,Subcompacto,2017,11070,Si,2000,No,No
30/10/2020,Subcompacto,2017,10540,Si,3000,No,No
29/06/2020,Camioneta,2017,60180,Si,10000,No,No
21/04/2020,compacto,2017,29620,Si,3600,No,No
10/02/2020,Camioneta,2017,61410,Si,7200,No,No
18/05/2020,Subcompacto,2017,17860,Si,2600,No,No
06/10/2020,De Lujo,2017,42990,Si,6000,No,No
14/01/2020,Austero,2017,2760,Si,1800,No,No
03/05/2020,Camioneta,2017,115910,Si,6700,No,No
22/05/2020,Deportivo,2017,30250,Si,4500,No,No
09/09/2020,Austero,2017,4160,Si,1400,No,No
06/07/2020,Subcompacto,2015,14820,Si,2900,No,No
27/06/2020,Austero,2015,9630,Si,1700,No,No
24/02/2020,Austero,2018,5210,Si,2000,No,No
04/08/2020,Austero,2018,6320,Si,1000,No,No
09/01/2020,Austero,2017,3120,Si,1400,No,No
06/10/2020,De Lujo,2018,47090,Si,5900,No,No
16/12/2020,De Lujo,2016,48450,Si,5300,No,No
03/12/2020,Subcompacto,2017,15090,Si,2500,No,No
14/01/2020,compacto,2017,24390,Si,3000,No,No
26/09/2020,Deportivo,2018,36640,Si,4200,No,No
22/02/2020,Camioneta,2017,54770,Si,9700,No,No
23/02/2020,Deportivo,2017,30530,Si,4200,No,No
02/05/2020,Austero,2017,3470,Si,1600,No,No
25/04/2020,compacto,2018,20740,Si,3100,No,No
06/08/2020,Austero,2016,4830,Si,1300,No,No
01/12/2020,,2016,0,Si,,"If["""" > 0, ""Si"", ""No""]",No
26/07/2020,Camioneta,2017,71830,Si,7300,No,No
05/06/2020,Austero,2017,8740,Si,1900,No,No
22/08/2020,compacto,2017,26020,Si,3100,No,No
27/08/2020,Camioneta,2017,185350,Si,6900,No,No
13/06/2020,Subcompacto,2017,10390,Si,2100,No,No
09/11/2020,Camioneta,2017,74330,Si,6000,No,No
09/04/2020,compacto,2017,21130,Si,3700,No,No
07/02/2020,Subcompacto,2016,19650,Si,2100,No,No
25/08/2020,Austero,2018,5030,Si,1900,No,No
24/03/2020,Austero,2016,8410,Si,2000,No,No
16/10/2020,Austero,2017,7760,Si,1400,No,No
28/10/2020,Deportivo,2018,30820,Si,4800,No,No
04/01/2020,Camioneta,2018,110390,Si,7800,No,No
12/10/2020,Subcompacto,2017,13640,Si,2400,No,No
17/06/2020,Austero,2017,3680,Si,1900,No,No
29/10/2020,Subcompacto,2016,16850,Si,3000,No,No
14/03/2020,Austero,2017,280,Si,1600,Si,No
26/09/2020,compacto,2017,22680,Si,3800,No,No
13/05/2020,Camioneta,2016,73840,Si,7300,No,No
14/05/2020,Austero,2017,8010,Si,1600,No,No
02/06/2020,Deportivo,2017,35980,Si,4900,No,No
06/07/2020,Subcompacto,2017,11910,Si,2100,No,No
21/03/2020,Subcompacto,2017,19010,Si,2000,No,No
22/01/2020,Deportivo,2018,33500,Si,4300,No,No
11/07/2020,Austero,2017,2300,Si,1800,No,No
15/03/2020,Camioneta,2017,119910,Si,6600,No,No
22/11/2020,Austero,2017,9100,Si,1600,No,No
29/10/2020,compacto,2017,24700,Si,3300,No,No
09/03/2020,De Lujo,2017,48390,Si,5900,No,No
21/01/2020,Austero,2017,5720,Si,1100,No,No
27/06/2020,Deportivo,2016,39380,Si,4600,No,No
04/09/2020,Deportivo,2018,37160,Si,4300,No,No
05/04/2020,Subcompacto,2018,13720,Si,2200,No,No
29/04/2020,Deportivo,2018,32260,Si,4300,No,No
28/05/2020,Austero,2017,3990,Si,1300,No,No
10/10/2020,Camioneta,2017,64060,Si,8500,No,No
20/12/2020,Austero,2017,9090,Si,1800,No,No
19/12/2020,Austero,2018,6020,Si,1400,No,No
11/04/2020,Deportivo,2018,35600,Si,4400,No,No
30/09/2020,De Lujo,2016,44120,Si,5600,No,No
09/03/2020,Camioneta,2018,52630,Si,9400,No,No
05/08/2020,Camioneta,2017,57770,Si,7800,No,No
04/10/2020,compacto,2017,24470,Si,3900,No,No
28/01/2020,Subcompacto,2018,14000,Si,2800,No,No
04/11/2020,compacto,2016,22620,Si,3100,No,No
23/03/2020,Camioneta,2016,79760,Si,9500,No,No
03/09/2020,compacto,2018,25870,Si,3500,No,No
12/12/2020,Camioneta,2016,52080,Si,7900,No,No
02/12/2020,Austero,2016,8500,Si,1100,No,No
05/07/2020,Austero,2017,4900,Si,1300,No,No
13/10/2020,Subcompacto,2017,13830,Si,3000,No,No
23/03/2020,Subcompacto,2018,14310,Si,3000,No,No
30/12/2020,Deportivo,2017,30970,Si,4900,No,No
06/06/2020,Austero,2017,8670,Si,1700,No,No
19/09/2020,Subcompacto,2017,10450,Si,2800,No,No
20/05/2020,Camioneta,2018,159730,Si,7100,No,No
02/08/2020,Austero,2017,6770,Si,1200,No,No
02/01/2020,Subcompacto,2017,12580,Si,2700,No,No
17/11/2020,De Lujo,2017,42960,Si,5900,No,No
03/10/2020,Camioneta,2016,50470,Si,9400,No,No
05/09/2020,Camioneta,2016,117120,Si,8000,No,No
31/07/2020,Deportivo,2017,34790,Si,4700,No,No
16/09/2020,Austero,2017,3000,Si,1500,No,No
21/06/2020,Subcompacto,2017,17070,Si,2000,No,No
15/02/2020,Austero,2017,7530,Si,1800,No,No
03/12/2020,Subcompacto,2017,11320,Si,2300,No,No
28/06/2020,Austero,2017,5270,Si,1500,No,No
02/03/2020,compacto,2017,20440,Si,4000,No,No
21/12/2020,Camioneta,2015,94630,Si,6200,No,No
17/01/2020,Austero,2017,6230,Si,2000,No,No
01/10/2020,Camioneta,2018,71870,Si,6600,No,No
05/05/2020,Subcompacto,2017,18930,Si,2400,No,No
15/08/2020,compacto,2017,25420,Si,3000,No,No
04/12/2020,Subcompacto,2015,10330,Si,2500,No,No
19/07/2020,Subcompacto,2017,17030,Si,2500,No,No
27/10/2020,Deportivo,2017,31000,Si,4100,No,No
30/11/2020,compacto,2017,23790,Si,3300,No,No
19/06/2020,Austero,2017,9750,Si,1900,No,No
24/11/2020,Camioneta,2018,75610,Si,8800,No,No
01/03/2020,Austero,2017,5790,Si,1700,No,No
29/02/2020,Subcompacto,2017,14960,Si,2200,No,No
05/08/2020,Deportivo,2017,35680,Si,4700,No,No
11/06/2020,Camioneta,2018,65150,Si,8200,No,No
17/11/2020,Subcompacto,2017,14720,Si,2400,No,No
08/04/2020,Austero,2018,1370,Si,1100,No,No
20/06/2020,Austero,2016,4790,Si,1600,No,No
02/11/2020,Camioneta,2017,73000,Si,7200,No,No
19/06/2020,Camioneta,2017,94940,Si,6900,No,No
13/12/2020,Subcompacto,2018,16250,Si,2300,No,No
10/02/2020,compacto,2018,28600,Si,3400,No,No
06/06/2020,Austero,2017,3720,Si,1300,No,No
07/07/2020,Subcompacto,2016,10450,Si,2200,No,No
24/10/2020,Austero,2017,260,Si,1600,Si,No
25/05/2020,compacto,2017,22250,Si,3400,No,No
21/08/2020,Austero,2017,3830,Si,1800,No,No
14/01/2020,Deportivo,2017,30760,Si,4400,No,No
02/06/2020,Subcompacto,2014,14930,Si,2900,No,No
24/11/2020,compacto,2018,26470,Si,3900,No,No
10/06/2020,Subcompacto,2016,15220,Si,2700,No,No
17/11/2020,Subcompacto,2017,13530,Si,2300,No,No
17/02/2020,Austero,2016,710,Si,1400,Si,No
19/10/2020,compacto,2017,24430,Si,3700,No,No
18/01/2020,Deportivo,2017,34430,Si,4100,No,No
21/08/2020,De Lujo,2016,44120,Si,6000,No,No
13/12/2020,Camioneta,2017,90900,Si,9800,No,No
06/06/2020,compacto,2016,21110,Si,3000,No,No
16/09/2020,Deportivo,2017,38520,Si,4700,No,No
20/12/2020,Camioneta,2017,58380,Si,8200,No,No
11/08/2020,Deportivo,2016,33670,Si,4200,No,No
12/10/2020,Camioneta,2016,97010,Si,8900,No,No
29/10/2020,compacto,2016,28320,Si,3700,No,No
15/06/2020,Austero,2018,1520,Si,1000,No,No
25/03/2020,Austero,2018,2860,Si,1100,No,No
03/06/2020,Austero,2017,7580,Si,1400,No,No
18/04/2020,Austero,2017,6730,Si,1400,No,No
06/04/2020,Austero,2017,4640,Si,1400,No,No
27/09/2020,Austero,2017,470,Si,1200,Si,No
29/12/2020,compacto,2018,28230,Si,4000,No,No
17/07/2020,Subcompacto,2017,10370,Si,2900,No,No
05/03/2020,Austero,2016,2230,Si,1900,No,No
17/12/2020,Subcompacto,2016,16280,Si,2600,No,No
30/06/2020,Subcompacto,2016,14960,Si,2000,No,No
07/12/2020,compacto,2017,26560,Si,3000,No,No
03/01/2020,compacto,2017,29750,Si,3100,No,No
24/05/2020,Deportivo,2017,37760,Si,4900,No,No
21/06/2020,De Lujo,2016,41710,Si,5800,No,No
13/09/2020,De Lujo,2017,49870,Si,5800,No,No
07/07/2020,Austero,2017,6770,Si,1100,No,No
28/06/2020,Austero,2017,5470,Si,1600,No,No
08/04/2020,Deportivo,2017,35560,Si,4700,No,No
25/03/2020,Austero,2017,2590,Si,1000,No,No
06/11/2020,Subcompacto,2017,18050,Si,2100,No,No
30/06/2020,Deportivo,2016,31090,Si,4600,No,No
25/03/2020,compacto,2017,26550,Si,3300,No,No
07/09/2020,Camioneta,2016,100300,Si,7800,No,No
17/01/2020,compacto,2017,28870,Si,3700,No,No
22/06/2020,compacto,2017,24660,Si,3600,No,No
23/09/2020,Subcompacto,2017,11870,Si,2200,No,No
19/10/2020,Subcompacto,2017,12810,Si,2100,No,No
23/04/2020,Deportivo,2016,31500,Si,5000,No,No
25/10/2020,Austero,2017,3100,Si,1700,No,No
11/06/2020,Subcompacto,2017,11100,Si,2100,No,No
06/08/2020,compacto,2018,22490,Si,4000,No,No
04/12/2020,Subcompacto,2017,18550,Si,2500,No,No
17/02/2020,Austero,2017,1660,Si,1500,No,No
06/12/2020,Austero,2018,5310,Si,1400,No,No
15/10/2020,Camioneta,2016,65690,Si,9500,No,No
27/07/2020,Deportivo,2017,37740,Si,4800,No,No
18/12/2020,Subcompacto,2017,15910,Si,3000,No,No
31/10/2020,Subcompacto,2018,12870,Si,2600,No,No
23/09/2020,Deportivo,2018,39700,Si,4900,No,No
07/02/2020,Camioneta,2017,59970,Si,6300,No,No
21/12/2020,Camioneta,2016,114510,Si,8000,No,No
14/11/2020,Austero,2018,5840,Si,1700,No,No
23/02/2020,Subcompacto,2016,19400,Si,2700,No,No
25/04/2020,Camioneta,2016,51680,Si,8300,No,No
09/08/2020,De Lujo,2016,40950,Si,5900,No,No
21/08/2020,Camioneta,2015,99580,Si,7500,No,No
12/12/2020,compacto,2017,20900,Si,4000,No,No
13/09/2020,De Lujo,2018,43970,Si,5800,No,No
09/09/2020,Camioneta,2016,77550,Si,7000,No,No
25/05/2020,Austero,2017,1630,Si,1100,No,No
07/09/2020,Deportivo,2017,39980,Si,4500,No,No
26/07/2020,compacto,2017,20870,Si,3100,No,No
01/11/2020,Deportivo,2017,35440,Si,4600,No,No
23/03/2020,Austero,2018,900,Si,1800,Si,No
25/10/2020,Camioneta,2017,124430,Si,6600,No,No
14/07/2020,Camioneta,2017,126130,Si,6500,No,No
23/09/2020,Deportivo,2018,31750,Si,4000,No,No
20/08/2020,Camioneta,2017,111150,Si,6100,No,No
09/05/2020,Austero,2017,9720,Si,1800,No,No
05/12/2020,compacto,2017,20220,Si,3400,No,No
08/08/2020,Subcompacto,2017,14460,Si,2900,No,No
30/03/2020,compacto,2017,20840,Si,3800,No,No
05/08/2020,Subcompacto,2017,15570,Si,2000,No,No
30/07/2020,Subcompacto,2017,15790,Si,2300,No,No
25/08/2020,Subcompacto,2017,19900,Si,2800,No,No
22/07/2020,Deportivo,2018,35320,Si,4300,No,No
08/11/2020,Subcompacto,2017,13300,Si,2700,No,No
20/11/2020,Camioneta,2017,61760,Si,6200,No,No
13/06/2020,compacto,2018,20490,Si,3000,No,No
02/09/2020,Subcompacto,2017,12190,Si,2400,No,No
20/07/2020,Camioneta,2016,84810,Si,7100,No,No
16/03/2020,Austero,2017,6140,Si,1000,No,No
10/09/2020,compacto,2017,21420,Si,3200,No,No
09/12/2020,compacto,2017,22310,Si,4000,No,No
20/08/2020,Austero,2017,1800,Si,1600,No,No
08/03/2020,Subcompacto,2017,10590,Si,2300,No,No
17/08/2020,Camioneta,2017,72420,Si,9300,No,No
14/07/2020,Camioneta,2017,54870,Si,7300,No,No
10/09/2020,Austero,2016,8930,Si,1600,No,No
21/06/2020,Camioneta,2016,88210,Si,6000,No,No
28/03/2020,Austero,2018,3230,Si,1800,No,No
12/04/2020,Austero,2017,5250,Si,1600,No,No
16/08/2020,Austero,2017,270,Si,1700,Si,No
25/12/2020,Subcompacto,2017,18090,Si,2700,No,No
23/08/2020,compacto,2016,23100,Si,4000,No,No
13/04/2020,Subcompacto,2016,15450,Si,2200,No,No
14/01/2020,Subcompacto,2017,17580,Si,3000,No,No
19/06/2020,De Lujo,2017,47040,Si,6000,No,No
04/03/2020,Camioneta,2018,56030,Si,7200,No,No
12/11/2020,compacto,2017,23340,Si,3600,No,No
25/07/2020,Austero,2017,7480,Si,1400,No,No
22/08/2020,compacto,2017,26520,Si,3600,No,No
26/06/2020,Subcompacto,2018,16620,Si,2600,No,No
26/08/2020,compacto,2017,21650,Si,4000,No,No
06/11/2020,Camioneta,2016,93860,Si,9400,No,No
29/05/2020,Austero,2017,2820,Si,1900,No,No
13/06/2020,Camioneta,2018,51180,Si,8700,No,No
04/02/2020,Deportivo,2018,30260,Si,4000,No,No
03/07/2020,Austero,2016,850,Si,1300,Si,No
28/07/2020,Subcompacto,2017,10410,Si,2300,No,No
19/03/2020,Camioneta,2017,51890,Si,6400,No,No
15/08/2020,Subcompacto,2017,15220,Si,2300,No,No
30/07/2020,compacto,2017,20140,Si,3900,No,No
25/03/2020,compacto,2017,23780,Si,3800,No,No
06/12/2020,Austero,2017,4770,Si,2000,No,No
23/11/2020,compacto,2016,20290,Si,3400,No,No
04/06/2020,Austero,2017,370,Si,1200,Si,No
11/10/2020,compacto,2018,28340,Si,3200,No,No
08/05/2020,Austero,2016,2420,Si,1500,No,No
19/10/2020,Austero,2018,6370,Si,1100,No,No
